interaction technique,n_view,Question_type,Comparison Targets,q_view,n_distr_similar_ll,n_dist_background_ll,n_distr_similar_ul,n_distr_background_ul,n_distr_similar_lr,n_distr_background_lr,n_distr_similar_ur,n_distr_background_ur,distr_multiplier_similar,distr_multiplier_background,Time_meas,Accuracy,DistractionIndexOld
filtering,2,type1,2,0.69,29,0,1,0,0,0,0,0,1,0.5,85.54,1,2.43
highlighting_1,2,type1,2,0.69,29,210,1,14,0,0,0,0,1,0.5,47.58,1,05.03
highlighting_2,2,type1,2,0.69,28,210,0,14,0,0,0,0,1,0.5,93.6,1,4.93
filtering,4,type1,2,0.69,29,0,1,0,15,0,1,0,1,0.5,118.84,1,4.38
highlighting_1,4,type1,2,0.69,29,210,1,14,15,0,1,0,1,0.5,173.06,1,6.99
highlighting_2,4,type1,2,0.69,28,210,0,14,15,0,1,0,1,0.5,93.7,1,6.88
filtering,2,type1,3,0.69,45,0,3,0,0,0,0,0,1,0.5,101.24,1,3.54
highlighting_1,2,type1,3,0.69,45,195,3,13,0,0,0,0,1,0.5,105.27,1,5.20
highlighting_2,2,type1,3,0.69,42,195,0,13,0,0,0,0,1,0.5,97.08,1,4.91
filtering,4,type1,3,0.69,45,0,3,0,45,0,3,0,1,0.5,186.12,1,07.08
highlighting_1,4,type1,3,0.69,45,195,3,13,45,0,3,0,1,0.5,112.03,1,8.74
highlighting_2,4,type1,3,0.69,42,195,0,13,45,0,3,0,1,0.5,153.03,1,8.45
filtering,2,type2,2,0.69,29,0,1,0,0,0,0,0,1,0.5,137.33,0,2.43
highlighting_1,2,type2,2,0.69,29,210,1,14,0,0,0,0,1,0.5,46.02,1,05.03
highlighting_2,2,type2,2,0.69,28,210,0,14,0,0,0,0,1,0.5,86.4,1,4.93
filtering,4,type2,2,0.69,29,0,1,0,14,0,0,0,1,0.5,67.02,1,4.33
highlighting_1,4,type2,2,0.69,29,210,1,14,14,0,0,0,1,0.5,131.26,1,6.94
highlighting_2,4,type2,2,0.69,28,210,0,14,14,0,0,0,1,0.5,71.82,1,6.83
filtering,2,type2,3,0.69,45,0,3,0,0,0,0,0,1,0.5,157.09,0,3.54
highlighting_1,2,type2,3,0.69,45,195,3,13,0,0,0,0,1,0.5,141.25,0,5.20
highlighting_2,2,type2,3,0.69,42,195,0,13,0,0,0,0,1,0.5,131.85,1,4.91
filtering,4,type2,3,0.69,45,0,3,0,45,0,3,0,1,0.5,157.38,1,07.08
highlighting_1,4,type2,3,0.69,45,195,3,13,45,0,3,0,1,0.5,94.2,1,8.74
highlighting_2,4,type2,3,0.69,42,195,0,13,42,0,3,0,1,0.5,96.23,1,8.40
filtering,2,type3,2,0.53,32,0,1,0,0,0,0,0,1,0.5,245.59,0,2.5
highlighting_1,2,type3,2,0.53,32,210,1,14,0,0,0,0,1,0.5,80.97,1,05.05
highlighting_2,2,type3,2,0.53,28,210,0,14,0,0,0,0,1,0.5,119.68,1,4.93
filtering,4,type3,2,0.53,32,0,1,0,15,0,1,0,1,0.5,150.02,1,4.45
highlighting_1,4,type3,2,0.53,32,210,1,14,15,0,1,0,1,0.5,122.03,1,7.00
highlighting_2,4,type3,2,0.53,28,210,0,14,15,0,1,0,1,0.5,109.89,1,6.88
filtering,2,type3,3,0.53,54,0,3,0,0,0,0,0,1,0.5,98.53,1,3.67
highlighting_1,2,type3,3,0.53,54,195,3,13,0,0,0,0,1,0.5,65.69,1,5.25
highlighting_2,2,type3,3,0.53,42,195,0,13,0,0,0,0,1,0.5,102.19,1,4.91
filtering,4,type3,3,0.53,54,0,3,0,45,0,3,0,1,0.5,116.61,1,7.21
highlighting_1,4,type3,3,0.53,54,195,3,13,45,0,3,0,1,0.5,77.34,1,8.78
highlighting_2,4,type3,3,0.53,42,195,0,13,45,0,3,0,1,0.5,74.89,1,8.45
filtering,2,type4,2,0.53,32,0,1,0,0,0,0,0,1,0.5,294.03,1,2.5
highlighting_1,2,type4,2,0.53,32,210,1,14,0,0,0,0,1,0.5,101.63,1,05.05
highlighting_2,2,type4,2,0.53,28,210,0,14,0,0,0,0,1,0.5,133.29,0,4.93
filtering,4,type4,2,0.53,32,0,1,0,14,0,0,0,1,0.5,180.14,1,4.40
highlighting_1,4,type4,2,0.53,32,210,1,14,14,0,0,0,1,0.5,172.8,1,6.95
highlighting_2,4,type4,2,0.53,28,210,0,14,14,0,0,0,1,0.5,78.4,1,6.83
filtering,2,type4,3,0.53,54,0,3,0,0,0,0,0,1,0.5,372.67,0,3.67
highlighting_1,2,type4,3,0.53,54,195,3,13,0,0,0,0,1,0.5,441.33,0,5.25
highlighting_2,2,type4,3,0.53,42,195,0,13,0,0,0,0,1,0.5,124.94,0,4.91
filtering,4,type4,3,0.53,54,0,3,0,54,0,3,0,1,0.5,245.74,1,7.34
highlighting_1,4,type4,3,0.53,54,195,3,13,54,0,3,0,1,0.5,211.64,0,8.92
highlighting_2,4,type4,3,0.53,42,195,0,13,42,0,3,0,1,0.5,199.77,1,8.40
filtering,2,type1,2,0.69,29,0,1,0,0,0,0,0,1,0.5,60.6,1,2.43
highlighting_1,2,type1,2,0.69,29,210,1,14,0,0,0,0,1,0.5,90.53,1,05.03
highlighting_2,2,type1,2,0.69,28,210,0,14,0,0,0,0,1,0.5,64.13,1,4.93
filtering,4,type1,2,0.69,29,0,1,0,15,0,1,0,1,0.5,67.11,1,4.38
highlighting_1,4,type1,2,0.69,29,210,1,14,15,0,1,0,1,0.5,60.07,1,6.99
highlighting_2,4,type1,2,0.69,28,210,0,14,15,0,1,0,1,0.5,50.77,0,6.88
filtering,2,type1,3,0.69,45,0,3,0,0,0,0,0,1,0.5,71.34,1,3.54
highlighting_1,2,type1,3,0.69,45,195,3,13,0,0,0,0,1,0.5,89.45,1,5.20
highlighting_2,2,type1,3,0.69,42,195,0,13,0,0,0,0,1,0.5,96.96,1,4.91
filtering,4,type1,3,0.69,45,0,3,0,45,0,3,0,1,0.5,213.54,1,07.08
highlighting_1,4,type1,3,0.69,45,195,3,13,45,0,3,0,1,0.5,78.02,1,8.74
highlighting_2,4,type1,3,0.69,42,195,0,13,45,0,3,0,1,0.5,43.81,1,8.45
filtering,2,type2,2,0.69,29,0,1,0,0,0,0,0,1,0.5,30.32,1,2.43
highlighting_1,2,type2,2,0.69,29,210,1,14,0,0,0,0,1,0.5,94.41,1,05.03
highlighting_2,2,type2,2,0.69,28,210,0,14,0,0,0,0,1,0.5,55.91,1,4.93
filtering,4,type2,2,0.69,29,0,1,0,14,0,0,0,1,0.5,52.63,1,4.33
highlighting_1,4,type2,2,0.69,29,210,1,14,14,0,0,0,1,0.5,50.84,1,6.94
highlighting_2,4,type2,2,0.69,28,210,0,14,14,0,0,0,1,0.5,37.64,1,6.83
filtering,2,type2,3,0.69,45,0,3,0,0,0,0,0,1,0.5,123.6,1,3.54
highlighting_1,2,type2,3,0.69,45,195,3,13,0,0,0,0,1,0.5,155.66,1,5.20
highlighting_2,2,type2,3,0.69,42,195,0,13,0,0,0,0,1,0.5,133.29,1,4.91
filtering,4,type2,3,0.69,45,0,3,0,45,0,3,0,1,0.5,122.38,1,07.08
highlighting_1,4,type2,3,0.69,45,195,3,13,45,0,3,0,1,0.5,210.66,1,8.74
highlighting_2,4,type2,3,0.69,42,195,0,13,42,0,3,0,1,0.5,85.64,1,8.40
filtering,2,type3,2,0.53,32,0,1,0,0,0,0,0,1,0.5,45.93,1,2.5
highlighting_1,2,type3,2,0.53,32,210,1,14,0,0,0,0,1,0.5,111.77,1,05.05
highlighting_2,2,type3,2,0.53,28,210,0,14,0,0,0,0,1,0.5,55.01,1,4.93
filtering,4,type3,2,0.53,32,0,1,0,15,0,1,0,1,0.5,113.43,1,4.45
highlighting_1,4,type3,2,0.53,32,210,1,14,15,0,1,0,1,0.5,54.86,1,7.00
highlighting_2,4,type3,2,0.53,28,210,0,14,15,0,1,0,1,0.5,63.06,1,6.88
filtering,2,type3,3,0.53,54,0,3,0,0,0,0,0,1,0.5,104.91,1,3.67
highlighting_1,2,type3,3,0.53,54,195,3,13,0,0,0,0,1,0.5,108.9,1,5.25
highlighting_2,2,type3,3,0.53,42,195,0,13,0,0,0,0,1,0.5,91.52,1,4.91
filtering,4,type3,3,0.53,54,0,3,0,45,0,3,0,1,0.5,91.91,1,7.21
highlighting_1,4,type3,3,0.53,54,195,3,13,45,0,3,0,1,0.5,70.12,0,8.78
highlighting_2,4,type3,3,0.53,42,195,0,13,45,0,3,0,1,0.5,98.33,1,8.45
filtering,2,type4,2,0.53,32,0,1,0,0,0,0,0,1,0.5,67.39,1,2.5
highlighting_1,2,type4,2,0.53,32,210,1,14,0,0,0,0,1,0.5,109.87,1,05.05
highlighting_2,2,type4,2,0.53,28,210,0,14,0,0,0,0,1,0.5,142.33,1,4.93
filtering,4,type4,2,0.53,32,0,1,0,14,0,0,0,1,0.5,83.17,1,4.40
highlighting_1,4,type4,2,0.53,32,210,1,14,14,0,0,0,1,0.5,160.2,0,6.95
highlighting_2,4,type4,2,0.53,28,210,0,14,14,0,0,0,1,0.5,122.92,1,6.83
filtering,2,type4,3,0.53,54,0,3,0,0,0,0,0,1,0.5,575.08,1,3.67
highlighting_1,2,type4,3,0.53,54,195,3,13,0,0,0,0,1,0.5,462.98,0,5.25
highlighting_2,2,type4,3,0.53,42,195,0,13,0,0,0,0,1,0.5,380.63,1,4.91
filtering,4,type4,3,0.53,54,0,3,0,54,0,3,0,1,0.5,149.73,1,7.34
highlighting_1,4,type4,3,0.53,54,195,3,13,54,0,3,0,1,0.5,446.23,0,8.92
highlighting_2,4,type4,3,0.53,42,195,0,13,42,0,3,0,1,0.5,223.68,1,8.40
