Straßennetzdichte in Gebietsfläche (2022)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert km/km²
1;07131;Ahrweiler;1,8 
2;09771;Aichach-Friedberg;2,4 
3;08425;Alb-Donau-Kreis;2,0 
4;16077;Altenburger Land;2,2 
5;07132;Altenkirchen (Westerwald);2,5 
6;15081;Altmarkkreis Salzwedel;0,7 
7;09171;Altötting;3,3 
8;07331;Alzey-Worms;2,0 
9;09361;Amberg;5,6 
10;09371;Amberg-Sulzbach;1,9 
11;03451;Ammerland;2,6 
12;15082;Anhalt-Bitterfeld;1,3 
13;09561;Ansbach;3,7 
14;09571;Ansbach (Landkreis);2,1 
15;09661;Aschaffenburg;5,2 
16;09671;Aschaffenburg (Landkreis);2,3 
17;09761;Augsburg;5,6 
18;09772;Augsburg (Landkreis);2,5 
19;03452;Aurich;2,4 
20;07332;Bad Dürkheim;1,8 
21;09672;Bad Kissingen;1,5 
22;07133;Bad Kreuznach;1,8 
23;09173;Bad Tölz-Wolfratshausen;1,5 
24;08211;Baden-Baden;2,8 
25;09461;Bamberg;5,7 
26;09471;Bamberg (Landkreis);1,9 
27;12060;Barnim;1,3 
28;14625;Bautzen;1,8 
29;09462;Bayreuth;5,7 
30;09472;Bayreuth (Landkreis);1,9 
31;09172;Berchtesgadener Land;1,7 
32;06431;Bergstraße;2,4 
33;11000;Berlin;6,5 
34;07231;Bernkastel-Wittlich;1,6 
35;08426;Biberach;2,1 
36;05711;Bielefeld;5,2 
37;07134;Birkenfeld;1,4 
38;05911;Bochum;7,8 
39;08435;Bodenseekreis;2,9 
40;05314;Bonn;6,7 
41;05554;Borken;2,1 
42;05512;Bottrop;4,5 
43;12051;Brandenburg an der Havel;1,8 
44;03101;Braunschweig;4,7 
45;08315;Breisgau-Hochschwarzwald;2,0 
46;04011;Bremen;5,1 
47;04012;Bremerhaven;5,2 
48;15084;Burgenlandkreis;1,6 
49;08115;Böblingen;3,4 
50;15083;Börde;1,1 
51;08235;Calw;2,2 
52;03351;Celle;1,3 
53;09372;Cham;2,5 
54;14511;Chemnitz;5,0 
55;03453;Cloppenburg;2,3 
56;09463;Coburg;6,0 
57;09473;Coburg (Landkreis);2,3 
58;07135;Cochem-Zell;1,6 
59;05558;Coesfeld;1,8 
60;12052;Cottbus;3,1 
61;03352;Cuxhaven;1,4 
62;09174;Dachau;2,6 
63;12061;Dahme-Spreewald;1,2 
64;06411;Darmstadt;3,9 
65;06432;Darmstadt-Dieburg;2,6 
66;09271;Deggendorf;2,7 
67;03401;Delmenhorst;5,4 
68;15001;Dessau-Roßlau;2,0 
69;03251;Diepholz;2,2 
70;09773;Dillingen a.d. Donau;2,0 
71;09279;Dingolfing-Landau;2,6 
72;01051;Dithmarschen;1,9 
73;09779;Donau-Ries;1,9 
74;07333;Donnersbergkreis;1,5 
75;05913;Dortmund;6,7 
76;14612;Dresden;5,2 
77;05112;Duisburg;6,1 
78;05358;Düren;2,2 
79;05111;Düsseldorf;6,5 
80;09175;Ebersberg;2,6 
81;16061;Eichsfeld;1,4 
82;09176;Eichstätt;1,9 
83;07232;Eifelkreis Bitburg-Prüm;1,5 
84;16056;Eisenach;2,8 
85;12062;Elbe-Elster;1,1 
86;03402;Emden;3,2 
87;08316;Emmendingen;2,2 
88;03454;Emsland;2,2 
89;05954;Ennepe-Ruhr-Kreis;3,7 
90;08236;Enzkreis;2,8 
91;09177;Erding;2,7 
92;16051;Erfurt;3,4 
93;09562;Erlangen;6,5 
94;09572;Erlangen-Höchstadt;2,6 
95;14521;Erzgebirgskreis;2,2 
96;05113;Essen;7,7 
97;08116;Esslingen;4,0 
98;05366;Euskirchen;1,9 
99;01001;Flensburg;5,7 
100;09474;Forchheim;2,5 
101;07311;Frankenthal (Pfalz);4,5 
102;12053;Frankfurt (Oder);2,4 
103;06412;Frankfurt am Main;6,3 
104;08311;Freiburg im Breisgau;4,3 
105;09178;Freising;2,6 
106;08237;Freudenstadt;1,9 
107;09272;Freyung-Grafenau;2,3 
108;03455;Friesland;2,1 
109;06631;Fulda;1,9 
110;09179;Fürstenfeldbruck;3,1 
111;09563;Fürth;7,1 
112;09573;Fürth (Landkreis);3,2 
113;09180;Garmisch-Partenkirchen;1,0 
114;05513;Gelsenkirchen;7,2 
115;16052;Gera;3,6 
116;07334;Germersheim;2,0 
117;06531;Gießen;2,3 
118;03151;Gifhorn;1,2 
119;03153;Goslar;1,5 
120;16067;Gotha;1,4 
121;03456;Grafschaft Bentheim;2,7 
122;16076;Greiz;1,8 
123;06433;Groß-Gerau;2,8 
124;08117;Göppingen;2,9 
125;14626;Görlitz;1,8 
126;03159;Göttingen;1,6 
127;09774;Günzburg;2,4 
128;05754;Gütersloh;2,7 
129;05914;Hagen;4,4 
130;15002;Halle (Saale);5,4 
131;02000;Hamburg;5,2 
132;03252;Hameln-Pyrmont;1,8 
133;05915;Hamm;3,8 
134;03353;Harburg;1,9 
135;15085;Harz;1,2 
136;12063;Havelland;1,2 
137;09674;Haßberge;1,7 
138;03358;Heidekreis;1,2 
139;08221;Heidelberg;4,6 
140;08135;Heidenheim;2,0 
141;08121;Heilbronn;5,1 
142;08125;Heilbronn (Landkreis);2,8 
143;05370;Heinsberg;3,2 
144;03154;Helmstedt;1,6 
145;05758;Herford;4,2 
146;05916;Herne;8,7 
147;06632;Hersfeld-Rotenburg;1,5 
148;01053;Herzogtum Lauenburg;1,8 
149;16069;Hildburghausen;1,3 
150;03254;Hildesheim;1,9 
151;05958;Hochsauerlandkreis;1,6 
152;06434;Hochtaunuskreis;2,7 
153;09464;Hof;5,0 
154;09475;Hof (Landkreis);2,4 
155;08126;Hohenlohekreis;2,5 
156;03255;Holzminden;1,3 
157;05762;Höxter;1,6 
158;16070;Ilm-Kreis;1,5 
159;09161;Ingolstadt;5,4 
160;16053;Jena;4,0 
161;15086;Jerichower Land;0,8 
162;07312;Kaiserslautern;3,5 
163;07335;Kaiserslautern (Landkreis);1,8 
164;08212;Karlsruhe;5,6 
165;08215;Karlsruhe (Landkreis);2,8 
166;06633;Kassel;1,8 
167;06611;Kassel (Kreisfreie Stadt);6,5 
168;09762;Kaufbeuren;5,6 
169;09273;Kelheim;2,0 
170;09763;Kempten (Allgäu);5,8 
171;01002;Kiel;5,8 
172;09675;Kitzingen;2,2 
173;05154;Kleve;2,1 
174;07111;Koblenz;4,7 
175;08335;Konstanz;2,7 
176;05114;Krefeld;5,8 
177;09476;Kronach;1,9 
178;09477;Kulmbach;2,2 
179;07336;Kusel;1,7 
180;16065;Kyffhäuserkreis;1,1 
181;05315;Köln;6,5 
182;06532;Lahn-Dill-Kreis;2,3 
183;07313;Landau in der Pfalz;3,2 
184;09181;Landsberg am Lech;2,1 
185;09261;Landshut;5,6 
