Straßennetzdichte in Gebietsfläche (2011)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert km/km²
1;07131;Ahrweiler;1,7 
2;09771;Aichach-Friedberg;2,0 
3;08425;Alb-Donau-Kreis;1,9 
4;16077;Altenburger Land;2,4 
5;07132;Altenkirchen (Westerwald);2,5 
6;15081;Altmarkkreis Salzwedel;0,7 
7;09171;Altötting;2,5 
8;07331;Alzey-Worms;2,0 
9;09361;Amberg;5,1 
10;09371;Amberg-Sulzbach;1,7 
11;03451;Ammerland;2,6 
12;15082;Anhalt-Bitterfeld;1,6 
13;09561;Ansbach;3,7 
14;09571;Ansbach (Landkreis);1,9 
15;09661;Aschaffenburg;4,9 
16;09671;Aschaffenburg (Landkreis);2,1 
17;09761;Augsburg;5,5 
18;09772;Augsburg (Landkreis);2,2 
19;03452;Aurich;2,5 
20;07332;Bad Dürkheim;1,8 
21;09672;Bad Kissingen;1,4 
22;07133;Bad Kreuznach;1,8 
23;09173;Bad Tölz-Wolfratshausen;1,2 
24;08211;Baden-Baden;2,7 
25;09461;Bamberg;5,9 
26;09471;Bamberg (Landkreis);1,7 
27;12060;Barnim;1,4 
28;14625;Bautzen;1,7 
29;09462;Bayreuth;5,3 
30;09472;Bayreuth (Landkreis);1,6 
31;09172;Berchtesgadener Land;1,3 
32;06431;Bergstraße;2,4 
33;11000;Berlin;6,4 
34;07231;Bernkastel-Wittlich;1,6 
35;08426;Biberach;2,0 
36;05711;Bielefeld;5,0 
37;07134;Birkenfeld;1,4 
38;05911;Bochum;7,5 
39;08435;Bodenseekreis;2,8 
40;05314;Bonn;6,6 
41;05554;Borken;2,0 
42;05512;Bottrop;4,5 
43;12051;Brandenburg an der Havel;1,6 
44;03101;Braunschweig;4,6 
45;08315;Breisgau-Hochschwarzwald;1,9 
46;04011;Bremen;5,2 
47;04012;Bremerhaven;5,4 
48;15084;Burgenlandkreis;1,5 
49;08115;Böblingen;3,3 
50;15083;Börde;1,1 
51;08235;Calw;2,2 
52;03351;Celle;1,3 
53;09372;Cham;1,9 
54;14511;Chemnitz;4,5 
55;03453;Cloppenburg;2,2 
56;09463;Coburg;5,5 
57;09473;Coburg (Landkreis);2,1 
58;07135;Cochem-Zell;1,6 
59;05558;Coesfeld;1,7 
60;12052;Cottbus;3,0 
61;03352;Cuxhaven;1,3 
62;09174;Dachau;2,4 
63;12061;Dahme-Spreewald;1,2 
64;06411;Darmstadt;4,0 
65;06432;Darmstadt-Dieburg;2,5 
66;09271;Deggendorf;2,2 
67;03401;Delmenhorst;5,5 
68;15001;Dessau-Roßlau;2,1 
69;03251;Diepholz;2,2 
70;09773;Dillingen a.d. Donau;1,7 
71;09279;Dingolfing-Landau;2,1 
72;01051;Dithmarschen;1,3 
73;09779;Donau-Ries;1,7 
74;07333;Donnersbergkreis;1,5 
75;05913;Dortmund;6,5 
76;14612;Dresden;4,9 
77;05112;Duisburg;6,1 
78;05358;Düren;2,1 
79;05111;Düsseldorf;6,2 
80;09175;Ebersberg;2,0 
81;16061;Eichsfeld;1,4 
82;09176;Eichstätt;1,7 
83;07232;Eifelkreis Bitburg-Prüm;1,5 
84;16056;Eisenach;2,8 
85;12062;Elbe-Elster;1,2 
86;03402;Emden;3,4 
87;08316;Emmendingen;2,1 
88;03454;Emsland;2,1 
89;05954;Ennepe-Ruhr-Kreis;3,7 
90;08236;Enzkreis;2,7 
91;09177;Erding;2,2 
92;16051;Erfurt;3,4 
93;09562;Erlangen;6,2 
94;09572;Erlangen-Höchstadt;2,3 
95;14521;Erzgebirgskreis;2,0 
96;05113;Essen;7,5 
97;08116;Esslingen;3,8 
98;05366;Euskirchen;1,9 
99;01001;Flensburg;5,7 
100;09474;Forchheim;2,2 
101;07311;Frankenthal (Pfalz);4,4 
102;12053;Frankfurt (Oder);2,6 
103;06412;Frankfurt am Main;6,8 
104;08311;Freiburg im Breisgau;4,2 
105;09178;Freising;2,4 
106;08237;Freudenstadt;1,8 
107;09272;Freyung-Grafenau;1,8 
108;03455;Friesland;2,0 
109;06631;Fulda;1,9 
110;09179;Fürstenfeldbruck;2,9 
111;09563;Fürth;6,6 
112;09573;Fürth (Landkreis);2,9 
113;09180;Garmisch-Partenkirchen;0,8 
114;05513;Gelsenkirchen;7,0 
115;16052;Gera;3,8 
116;07334;Germersheim;1,9 
117;06531;Gießen;2,2 
118;03151;Gifhorn;1,2 
119;03153;Goslar;1,4 
120;16067;Gotha;1,5 
121;03456;Grafschaft Bentheim;2,7 
122;16076;Greiz;1,9 
123;06433;Groß-Gerau;2,8 
124;08117;Göppingen;2,8 
125;14626;Görlitz;1,7 
126;03159;Göttingen;1,5 
127;09774;Günzburg;2,1 
128;05754;Gütersloh;2,6 
129;05914;Hagen;4,3 
130;15002;Halle (Saale);5,4 
131;02000;Hamburg;5,2 
132;03252;Hameln-Pyrmont;1,8 
133;05915;Hamm;3,7 
134;03353;Harburg;1,7 
135;15085;Harz;1,2 
136;12063;Havelland;1,0 
137;09674;Haßberge;1,5 
138;03358;Heidekreis;1,2 
139;08221;Heidelberg;4,4 
140;08135;Heidenheim;2,0 
141;08121;Heilbronn;5,0 
142;08125;Heilbronn (Landkreis);2,7 
143;05370;Heinsberg;3,0 
144;03154;Helmstedt;1,6 
145;05758;Herford;4,2 
146;05916;Herne;8,5 
147;06632;Hersfeld-Rotenburg;1,5 
148;01053;Herzogtum Lauenburg;1,4 
149;16069;Hildburghausen;1,3 
150;03254;Hildesheim;1,9 
151;05958;Hochsauerlandkreis;1,5 
152;06434;Hochtaunuskreis;2,8 
153;09464;Hof;4,7 
154;09475;Hof (Landkreis);2,1 
155;08126;Hohenlohekreis;2,4 
156;03255;Holzminden;1,2 
157;05762;Höxter;1,6 
158;16070;Ilm-Kreis;1,5 
159;09161;Ingolstadt;5,1 
160;16053;Jena;3,9 
161;15086;Jerichower Land;0,8 
162;07312;Kaiserslautern;3,6 
163;07335;Kaiserslautern (Landkreis);1,8 
164;08212;Karlsruhe;5,4 
165;08215;Karlsruhe (Landkreis);2,7 
166;06611;Kassel;6,7 
167;06633;Kassel (Landkreis);1,8 
168;09762;Kaufbeuren;5,2 
169;09273;Kelheim;1,9 
170;09763;Kempten (Allgäu);4,7 
171;01002;Kiel;5,6 
172;09675;Kitzingen;1,9 
173;05154;Kleve;2,0 
174;07111;Koblenz;4,6 
175;08335;Konstanz;2,6 
176;05114;Krefeld;5,6 
177;09476;Kronach;1,7 
178;09477;Kulmbach;2,0 
179;07336;Kusel;1,6 
180;16065;Kyffhäuserkreis;1,1 
181;05315;Köln;6,3 
182;06532;Lahn-Dill-Kreis;2,3 
183;07313;Landau in der Pfalz;3,2 
184;09181;Landsberg am Lech;1,7 
185;09261;Landshut;5,1 
186;09274;Landshut (Landkreis);2,0 
187;03457;Leer;2,7 
188;14713;Leipzig;5,6 
189;14729;Leipzig (Landkreis);2,1 
190;05316;Leverkusen;6,6 
191;09478;Lichtenfels;1,9 
192;06533;Limburg-Weilburg;2,3 
193;09776;Lindau (Bodensee);2,3 
194;05766;Lippe;2,3 
195;08118;Ludwigsburg;3,7 
196;07314;Ludwigshafen am Rhein;7,0 
197;13076;Ludwigslust-Parchim;1,0 
198;08336;Lörrach;2,4 
199;01003;Lübeck;3,5 
200;03354;Lüchow-Dannenberg;0,9 
201;03355;Lüneburg;1,4 
202;15003;Magdeburg;4,3 
203;06435;Main-Kinzig-Kreis;2,1 
204;09677;Main-Spessart;1,3 
205;08128;Main-Tauber-Kreis;1,8 
206;06436;Main-Taunus-Kreis;4,6 
207;07315;Mainz;6,6 
208;07339;Mainz-Bingen;2,3 
209;08222;Mannheim;6,3 
210;15087;Mansfeld-Südharz;1,3 
211;06534;Marburg-Biedenkopf;1,9 
212;07137;Mayen-Koblenz;2,3 
213;13071;Mecklenburgische Seenplatte;0,8 
214;14627;Meißen;2,1 
215;09764;Memmingen;4,0 
216;10042;Merzig-Wadern;2,1 
217;05158;Mettmann;4,6 
218;09182;Miesbach;1,3 
219;09676;Miltenberg;1,7 
220;05770;Minden-Lübbecke;2,7 
221;14522;Mittelsachsen;2,0 
222;12064;Märkisch-Oderland;1,4 
223;05962;Märkischer Kreis;2,4 
224;05116;Mönchengladbach;5,4 
225;09183;Mühldorf a. Inn;2,2 
226;05117;Mülheim an der Ruhr;5,9 
227;09162;München;9,0 
228;09184;München (Landkreis);2,8 
229;05515;Münster;3,7 
230;08225;Neckar-Odenwald-Kreis;2,0 
231;09775;Neu-Ulm;2,7 
232;09185;Neuburg-Schrobenhausen;2,0 
233;09373;Neumarkt i.d. OPf.;1,7 
234;01004;Neumünster;4,8 
235;10043;Neunkirchen;3,6 
236;09575;Neustadt a.d. Aisch-Bad Windsheim;1,6 
237;09374;Neustadt a.d. Waldnaab;1,6 
238;07316;Neustadt an der Weinstraße;2,6 
239;07138;Neuwied;2,7 
240;03256;Nienburg (Weser);1,2 
241;01054;Nordfriesland;1,2 
242;16062;Nordhausen;1,4 
243;14730;Nordsachsen;1,5 
244;13074;Nordwestmecklenburg;1,1 
245;03155;Northeim;1,4 
246;09564;Nürnberg;7,5 
247;09574;Nürnberger Land;2,2 
248;09780;Oberallgäu;1,2 
249;05374;Oberbergischer Kreis;3,0 
250;05119;Oberhausen;7,9 
251;12065;Oberhavel;1,3 
252;12066;Oberspreewald-Lausitz;1,4 
253;06437;Odenwaldkreis;1,6 
254;12067;Oder-Spree;1,2 
255;06438;Offenbach;4,0 
256;06413;Offenbach am Main;6,5 
257;03458;Oldenburg;2,3 
258;03403;Oldenburg (Oldb);6,5 
259;05966;Olpe;2,0 
260;08317;Ortenaukreis;2,3 
261;03404;Osnabrück;6,1 
262;03459;Osnabrück (Landkreis);2,8 
