Anteil Landwirtschaftsfläche an Gebietsfläche (2016)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;45,6 ;12/2014
2;09;Bayern;50,4 ;02/2016
3;11;Berlin;3,8 ;11/2015
4;12;Brandenburg;47,5 ;07/2015
5;04;Bremen;26,9 ;06/2012
6;02;Hamburg;23,7 ;10/2015
7;06;Hessen;43,1 ;12/2012
8;13;Mecklenburg-Vorpommern;62,8 ;05/2013
9;03;Niedersachsen;60,1 ;01/2014
10;05;Nordrhein-Westfalen;49,2 ;06/2015
11;07;Rheinland-Pfalz;42,7 ;09/2014
12;10;Saarland;35,5 ;07/2014
13;14;Sachsen;52,2 ;03/2014
14;15;Sachsen-Anhalt;62,2 ;06/2015
15;01;Schleswig-Holstein;69,1 ;12/2014
16;16;Thüringen;54,3 ;06/2015
;;Deutschland;52,3 ;12/2014
