Anteil Landwirtschaftsfläche an Gebietsfläche (2019)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;45,1 ;12/2017
2;09;Bayern;49,7 ;02/2019
3;11;Berlin;3,6 ;04/2019
4;12;Brandenburg;47,4 ;09/2018
5;04;Bremen;26,8 ;05/2018
6;02;Hamburg;23,5 ;12/2018
7;06;Hessen;42,6 ;03/2017
8;13;Mecklenburg-Vorpommern;62,9 ;10/2017
9;03;Niedersachsen;60,0 ;02/2017
10;05;Nordrhein-Westfalen;48,9 ;03/2018
11;07;Rheinland-Pfalz;42,3 ;05/2018
12;10;Saarland;35,9 ;08/2017
13;14;Sachsen;51,8 ;09/2017
14;15;Sachsen-Anhalt;61,9 ;03/2018
15;01;Schleswig-Holstein;68,6 ;04/2018
16;16;Thüringen;54,0 ;06/2018
;;Deutschland;51,9 ;03/2018
