Anteil Grünlandfläche an Gebietsfläche (2015)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;15,6 ;11/2013
2;09;Bayern;19,5 ;10/2014
3;11;Berlin;0,6 ;04/2015
4;12;Brandenburg;11,2 ;04/2014
5;04;Bremen;23,4 ;06/2012
6;02;Hamburg;13,5 ;09/2014
7;06;Hessen;15,0 ;03/2011
8;13;Mecklenburg-Vorpommern;15,8 ;12/2011
9;03;Niedersachsen;20,4 ;01/2013
10;05;Nordrhein-Westfalen;15,1 ;01/2014
11;07;Rheinland-Pfalz;17,2 ;12/2013
12;10;Saarland;19,3 ;06/2013
13;14;Sachsen;13,6 ;10/2012
14;15;Sachsen-Anhalt;10,4 ;04/2014
15;01;Schleswig-Holstein;16,8 ;05/2013
16;16;Thüringen;14,0 ;06/2013
;;Deutschland;16,2 ;08/2013
