Anteil Wald- und Gehölzfläche an Gebietsfläche (2015)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert %;Mittlere Grundaktualität
1;08;Baden-Württemberg;39,4 ;11/2013
2;09;Bayern;36,5 ;10/2014
3;11;Berlin;18,8 ;04/2015
4;12;Brandenburg;38,1 ;04/2014
5;04;Bremen;4,0 ;06/2012
6;02;Hamburg;7,9 ;09/2014
7;06;Hessen;42,4 ;03/2011
8;13;Mecklenburg-Vorpommern;22,8 ;12/2011
9;03;Niedersachsen;22,6 ;01/2013
10;05;Nordrhein-Westfalen;27,0 ;01/2014
11;07;Rheinland-Pfalz;44,1 ;12/2013
12;10;Saarland;41,8 ;06/2013
13;14;Sachsen;29,5 ;10/2012
14;15;Sachsen-Anhalt;24,8 ;04/2014
15;01;Schleswig-Holstein;11,8 ;05/2013
16;16;Thüringen;34,5 ;06/2013
;;Deutschland;31,7 ;08/2013
